,Condition,Subj,FFA-VC,PPA-VC,Run
0,FH,503.0,0.282014957196,0.094802695522,1.5
1,FH,505.0,0.254243635411,0.445343986619,1.5
2,FH,508.0,0.269540324577,0.254511771805,1.5
3,FH,509.0,0.148380583541,0.128700096224,1.5
4,FH,510.0,-0.20468014661,0.392020192049,1.5
5,FH,512.0,0.372492418383,0.202653871978,1.5
6,FH,513.0,0.372989047458,0.362895274721,1.5
7,FH,516.0,-0.0249085465006,0.184623891725,1.5
8,FH,517.0,-0.139866790499,0.464066044726,1.5
9,FH,518.0,0.215993833662,0.255600017665,1.5
10,FH,519.0,-0.0078981990663,0.370991448265,1.5
11,FH,523.0,-0.177347979275,0.200302596378,1.5
12,FH,527.0,0.465291907356,0.323660166794,1.5
13,FH,528.0,0.0979574962719,0.173138809785,1.5
14,FH,529.0,0.224196604544,0.238231076422,1.5
15,FH,530.0,0.0673258868519,0.256555462557,1.5
16,FH,531.0,0.436931039903,0.0216477939944,1.5
17,FH,532.0,-0.138252470501,0.303548790328,1.5
18,FH,534.0,0.0403146948891,0.410342561633,1.5
19,FH,536.0,0.100628402678,0.229341429674,1.5
20,FH,537.0,0.253083833718,0.224747570676,1.5
21,FH,539.0,-0.0743423031441,0.474803498036,1.5
22,FH,540.0,0.000796907598267,0.249585405737,1.5
23,FH,542.0,0.262727818405,0.222844412855,1.5
24,FH,546.0,0.0699096145526,0.341262557787,1.5
25,FH,547.0,0.375782470644,0.0255862305251,1.5
26,FH,549.0,0.512892816254,0.359237905996,1.5
27,FH,550.0,0.115228232986,0.0538058302186,1.5
28,Fo,503.0,0.32562837089,0.111153666012,1.5
29,Fo,505.0,0.29081202352,0.424985965667,1.5
30,Fo,508.0,0.303581158182,0.228391625503,1.5
31,Fo,509.0,0.304855904921,0.251849802314,1.5
32,Fo,510.0,-0.0244850598035,0.223521435078,1.5
33,Fo,512.0,0.254567730813,0.248297993507,1.5
34,Fo,513.0,0.0773915875799,0.313160138204,1.5
35,Fo,516.0,-0.0196813051455,0.150839314117,1.5
36,Fo,517.0,-0.029825263137,0.578368391335,1.5
37,Fo,518.0,-0.0168191823034,0.116970688423,1.5
38,Fo,519.0,-0.0315596977241,0.301619357468,1.5
39,Fo,523.0,0.0664135489427,0.18780573056,1.5
40,Fo,527.0,0.454196374576,0.175072098205,1.5
41,Fo,528.0,0.1122208738,0.256303686897,1.5
42,Fo,529.0,0.129219212005,0.260511496903,1.5
43,Fo,530.0,0.10795988752,0.185210178518,1.5
44,Fo,531.0,0.419866116411,0.136533388999,1.5
45,Fo,532.0,-0.0989986941887,0.289830746932,1.5
46,Fo,534.0,-0.126261523411,0.525564978656,1.5
47,Fo,536.0,0.29202653353,0.108502616815,1.5
48,Fo,537.0,0.165050679474,0.238961498534,1.5
49,Fo,539.0,-0.175296332071,0.520263892027,1.5
50,Fo,540.0,0.0804928215308,0.314310203532,1.5
51,Fo,542.0,0.256365536221,0.0608554154898,1.5
52,Fo,546.0,0.0904750577376,0.297674039265,1.5
53,Fo,547.0,0.523669983863,-0.138219899166,1.5
54,Fo,549.0,0.465464236816,0.328094097641,1.5
55,Fo,550.0,0.275238915054,0.193667020366,1.5
56,Fp,503.0,0.363104815588,0.0809258833515,1.5
57,Fp,505.0,-0.0224512204022,0.420368898225,1.5
58,Fp,508.0,0.150009022403,0.277840295277,1.5
59,Fp,509.0,0.119857256329,0.151710611085,1.5
60,Fp,510.0,-0.0496317930409,0.393979552,1.5
61,Fp,512.0,0.422708843544,0.216142750233,1.5
62,Fp,513.0,0.355461768397,0.309468500304,1.5
63,Fp,516.0,-0.0823598321348,0.173455092667,1.5
64,Fp,517.0,-0.16485564632,0.432443302936,1.5
65,Fp,518.0,-0.0552086869105,0.101344090731,1.5
66,Fp,519.0,0.0781379689485,0.413472845835,1.5
67,Fp,523.0,-0.106496051092,0.216666704507,1.5
68,Fp,527.0,0.457701976497,0.292884756874,1.5
69,Fp,528.0,0.254993684347,0.245950805218,1.5
70,Fp,529.0,0.0486569128567,0.198654007665,1.5
71,Fp,530.0,0.0285454237016,0.322296257389,1.5
72,Fp,531.0,0.342621778932,0.129285363206,1.5
73,Fp,532.0,0.0187125116946,0.283317229685,1.5
74,Fp,534.0,0.0793212705383,0.472966072868,1.5
75,Fp,536.0,0.121046074173,0.126602511367,1.5
76,Fp,537.0,0.060981169162,0.211771373082,1.5
77,Fp,539.0,0.0433783491309,0.379038412078,1.5
78,Fp,540.0,-0.0126081994422,0.141751601629,1.5
79,Fp,542.0,0.310637416262,0.236723103339,1.5
80,Fp,546.0,-0.0437875580925,0.227362389083,1.5
81,Fp,547.0,0.404350525452,-0.0262575501849,1.5
82,Fp,549.0,0.415603875228,0.33395899007,1.5
83,Fp,550.0,0.121751909725,0.0863606144097,1.5
84,HF,503.0,0.563791929722,0.0987795541767,1.5
85,HF,505.0,0.385423756973,0.471949298991,1.5
86,HF,508.0,0.283847560979,0.145637056387,1.5
87,HF,509.0,0.130105641691,0.226092284761,1.5
88,HF,510.0,-0.115904097996,0.35490091295,1.5
89,HF,512.0,0.305644735571,0.288091793455,1.5
90,HF,513.0,0.217928709196,0.287326698138,1.5
91,HF,516.0,0.0149831079057,0.104324752848,1.5
92,HF,517.0,-0.101934401132,0.495048256721,1.5
93,HF,518.0,0.234636708326,0.140577128351,1.5
94,HF,519.0,0.1226190925,0.458818484403,1.5
95,HF,523.0,-0.266918013352,0.231723566765,1.5
96,HF,527.0,0.570955910084,0.306621734354,1.5
97,HF,528.0,0.260402506486,0.275019832638,1.5
98,HF,529.0,0.238159190424,0.271498976562,1.5
99,HF,530.0,0.166302392537,0.293408350229,1.5
100,HF,531.0,0.480764215339,0.161865335774,1.5
101,HF,532.0,0.0223366748195,0.45556989965,1.5
102,HF,534.0,0.115679842247,0.507059217286,1.5
103,HF,536.0,0.179369684938,0.15285668567,1.5
104,HF,537.0,0.073469914705,0.294636693208,1.5
105,HF,539.0,-0.227006309967,0.464234132267,1.5
106,HF,540.0,0.166582850727,0.115558987354,1.5
107,HF,542.0,0.23816533443,0.107949268132,1.5
108,HF,546.0,0.0962679246148,0.206073692944,1.5
109,HF,547.0,0.477628178113,-0.0157998536363,1.5
110,HF,549.0,0.430631912121,0.327161902265,1.5
111,HF,550.0,-0.0167530033946,0.0578157760435,1.5
112,Ho,503.0,0.310183235697,0.155294954295,1.5
113,Ho,505.0,0.28429310539,0.563916104771,1.5
114,Ho,508.0,0.171438661355,0.405897426652,1.5
115,Ho,509.0,0.228074419888,0.0754305646248,1.5
116,Ho,510.0,-0.165405752033,0.38472559342,1.5
117,Ho,512.0,0.29480424681,0.14034434594,1.5
118,Ho,513.0,0.253872958031,0.272111410172,1.5
119,Ho,516.0,0.0386598768194,0.18205109777,1.5
120,Ho,517.0,-0.0334423138701,0.517542331972,1.5
121,Ho,518.0,0.162340233335,0.116980575814,1.5
122,Ho,519.0,-0.0730379817412,0.417694836593,1.5
123,Ho,523.0,-0.0985463956119,0.287962620293,1.5
124,Ho,527.0,0.404905820061,0.123208385168,1.5
125,Ho,528.0,0.204025186359,0.223725071838,1.5
126,Ho,529.0,0.165197321261,0.312542543397,1.5
127,Ho,530.0,0.0417150251165,0.28117699942,1.5
128,Ho,531.0,0.35159505266,0.039804148694,1.5
129,Ho,532.0,-0.0727239792979,0.300418990819,1.5
130,Ho,534.0,0.0786373001262,0.460740680347,1.5
131,Ho,536.0,0.10759969144,0.199943137946,1.5
132,Ho,537.0,0.196356907377,0.235880414526,1.5
133,Ho,539.0,-0.0450541381533,0.467151835687,1.5
134,Ho,540.0,0.07672604782,0.266215795064,1.5
135,Ho,542.0,0.32099097431,0.277011516817,1.5
136,Ho,546.0,0.0116723078566,0.289000884342,1.5
137,Ho,547.0,0.414478401009,-0.0221278928447,1.5
138,Ho,549.0,0.428668024067,0.302434514932,1.5
139,Ho,550.0,0.233680818991,-0.00932960767405,1.5
140,Hp,503.0,0.397472471128,-0.0278957910379,1.5
141,Hp,505.0,0.063951401307,0.387424580858,1.5
142,Hp,508.0,0.295711738647,0.149990096897,1.5
143,Hp,509.0,0.137086328182,0.262607097322,1.5
144,Hp,510.0,-0.174837830448,0.388002844785,1.5
145,Hp,512.0,0.477999460684,0.238435057435,1.5
146,Hp,513.0,0.295266256663,0.317286658306,1.5
147,Hp,516.0,-0.0274096677764,0.20523801467,1.5
148,Hp,517.0,-0.124665718071,0.403965147718,1.5
149,Hp,518.0,0.0931975373122,0.0144746053296,1.5
150,Hp,519.0,-0.187485862709,0.37378572599,1.5
151,Hp,523.0,-0.139816594296,0.186438553733,1.5
152,Hp,527.0,0.47316576798,0.221255940056,1.5
153,Hp,528.0,0.115442701228,0.321266804596,1.5
154,Hp,529.0,0.151611229052,0.289853615656,1.5
155,Hp,530.0,-0.0669216987587,0.300718516758,1.5
156,Hp,531.0,0.373300075619,0.173900300833,1.5
157,Hp,532.0,-0.0588440449136,0.249339342348,1.5
158,Hp,534.0,0.0287692641581,0.448678364887,1.5
159,Hp,536.0,0.115358888493,0.106822635741,1.5
160,Hp,537.0,0.188611235285,0.252449402853,1.5
161,Hp,539.0,-0.0883468796071,0.453295824905,1.5
162,Hp,540.0,0.129870620513,0.30056759658,1.5
163,Hp,542.0,0.333648940994,0.181978078934,1.5
164,Hp,546.0,0.119677933406,0.16799304356,1.5
165,Hp,547.0,0.406986071773,0.00409648119639,1.5
166,Hp,549.0,0.383903845221,0.288608051739,1.5
167,Hp,550.0,0.15441532453,0.0482662597597,1.5
